order_id,product_id,customer_id,return_date,reason,status,refunded_amount
ORD024,PROD075,CUST031,2024-04-27,Wrong Item,Rejected,315.33
ORD052,PROD083,CUST020,2025-08-05,Size Issue,Pending,94.18
ORD057,PROD022,CUST039,2025-03-24,Defective,Approved,129.67
ORD051,PROD033,CUST095,2024-10-13,Defective,Rejected,464.06
ORD080,PROD022,CUST018,2024-03-31,Defective,Completed,84.81
ORD076,PROD007,CUST003,2024-02-05,Defective,Completed,86.44
ORD027,PROD078,CUST024,2025-05-02,Size Issue,Completed,266.7
ORD095,PROD086,CUST016,2024-03-30,Defective,Approved,230.0
ORD093,PROD066,CUST012,2024-08-01,Not Satisfied,Pending,427.0
ORD041,PROD079,CUST072,2024-04-03,Not Satisfied,Completed,170.85
ORD045,PROD021,CUST067,2025-02-11,Not Satisfied,Completed,88.35
ORD021,PROD004,CUST093,2024-01-23,Wrong Item,Pending,382.56
ORD093,PROD042,CUST035,2024-03-11,Defective,Rejected,463.87
ORD076,PROD095,CUST031,2024-11-13,Defective,Pending,149.61
ORD091,PROD079,CUST081,2024-10-04,Wrong Item,Completed,180.56
ORD030,PROD053,CUST093,2025-03-30,Not Satisfied,Pending,443.05
ORD014,PROD002,CUST060,2024-06-11,Wrong Item,Completed,37.83
ORD017,PROD038,CUST016,2025-01-25,Not Satisfied,Approved,71.27
ORD018,PROD077,CUST011,2025-01-24,Size Issue,Approved,16.44
ORD005,PROD097,CUST049,2025-08-31,Defective,Pending,50.78
ORD052,PROD078,CUST066,2024-06-06,Wrong Item,Approved,375.77
ORD077,PROD014,CUST073,2025-05-22,Wrong Item,Approved,380.74
ORD090,PROD020,CUST031,2025-03-16,Not Satisfied,Pending,310.93
ORD027,PROD036,CUST023,2025-09-04,Defective,Approved,151.67
ORD006,PROD073,CUST085,2025-07-24,Wrong Item,Rejected,425.0
ORD073,PROD060,CUST023,2025-09-11,Wrong Item,Rejected,78.58
ORD016,PROD076,CUST020,2025-03-24,Defective,Rejected,19.93
ORD072,PROD096,CUST026,2024-04-26,Not Satisfied,Pending,194.36
ORD008,PROD075,CUST067,2025-03-16,Wrong Item,Approved,201.95
ORD031,PROD055,CUST092,2025-03-28,Size Issue,Rejected,65.16
ORD082,PROD080,CUST081,2025-04-09,Size Issue,Approved,187.38
ORD058,PROD052,CUST028,2025-06-11,Not Satisfied,Pending,315.34
ORD050,PROD026,CUST037,2025-09-10,Defective,Completed,15.63
ORD001,PROD077,CUST038,2024-12-12,Wrong Item,Completed,236.61
ORD078,PROD071,CUST058,2024-11-23,Wrong Item,Pending,72.36
ORD039,PROD064,CUST092,2025-08-31,Size Issue,Completed,89.44
ORD042,PROD066,CUST017,2024-12-04,Wrong Item,Completed,435.01
ORD049,PROD086,CUST013,2024-10-25,Not Satisfied,Rejected,353.8
ORD083,PROD035,CUST090,2024-05-02,Defective,Completed,133.69
ORD092,PROD022,CUST049,2025-06-13,Not Satisfied,Approved,154.76
ORD013,PROD077,CUST089,2024-11-25,Not Satisfied,Rejected,88.16
ORD098,PROD097,CUST058,2024-05-16,Wrong Item,Pending,384.3
ORD039,PROD003,CUST048,2024-10-13,Wrong Item,Pending,121.26
ORD065,PROD085,CUST089,2024-04-25,Wrong Item,Pending,421.05
ORD100,PROD052,CUST100,2025-06-25,Defective,Pending,161.63
ORD065,PROD040,CUST091,2025-08-15,Defective,Rejected,359.28
ORD037,PROD092,CUST063,2024-10-15,Size Issue,Approved,440.6
ORD007,PROD012,CUST090,2025-09-28,Size Issue,Rejected,158.52
ORD078,PROD028,CUST065,2025-05-08,Defective,Completed,128.43
ORD045,PROD022,CUST012,2025-04-17,Wrong Item,Approved,275.48
ORD059,PROD042,CUST076,2024-10-10,Defective,Approved,146.46
ORD080,PROD003,CUST087,2024-05-29,Size Issue,Rejected,110.4
ORD043,PROD066,CUST056,2025-06-18,Size Issue,Completed,139.61
ORD097,PROD077,CUST086,2024-10-28,Not Satisfied,Pending,49.14
ORD027,PROD026,CUST073,2024-09-09,Defective,Completed,431.55
ORD096,PROD075,CUST033,2025-09-30,Not Satisfied,Rejected,331.44
ORD004,PROD050,CUST054,2024-04-09,Not Satisfied,Rejected,112.18
ORD092,PROD035,CUST099,2024-01-01,Not Satisfied,Pending,39.7
ORD098,PROD082,CUST002,2024-12-24,Wrong Item,Pending,49.17
ORD038,PROD056,CUST071,2025-04-27,Not Satisfied,Pending,497.33
ORD085,PROD027,CUST013,2024-11-20,Wrong Item,Completed,28.03
ORD100,PROD074,CUST018,2025-08-03,Not Satisfied,Approved,69.88
ORD046,PROD043,CUST004,2024-10-16,Wrong Item,Approved,79.15
ORD048,PROD026,CUST027,2025-07-10,Not Satisfied,Pending,172.37
ORD002,PROD015,CUST030,2024-12-11,Size Issue,Approved,66.93
ORD061,PROD006,CUST017,2024-08-19,Not Satisfied,Rejected,422.59
ORD078,PROD060,CUST083,2024-05-01,Size Issue,Completed,221.04
ORD032,PROD084,CUST042,2024-08-08,Wrong Item,Approved,138.74
ORD037,PROD070,CUST059,2024-09-03,Not Satisfied,Approved,357.22
ORD032,PROD001,CUST063,2024-11-05,Wrong Item,Pending,27.59
ORD007,PROD091,CUST045,2025-03-07,Wrong Item,Completed,43.29
ORD063,PROD098,CUST034,2024-06-11,Size Issue,Approved,153.21
ORD039,PROD058,CUST080,2024-05-27,Not Satisfied,Rejected,79.26
ORD097,PROD091,CUST097,2024-12-15,Not Satisfied,Pending,134.41
ORD074,PROD050,CUST004,2024-01-25,Wrong Item,Pending,460.27
ORD082,PROD058,CUST091,2025-02-05,Not Satisfied,Rejected,433.39
ORD082,PROD057,CUST091,2025-03-02,Wrong Item,Completed,237.21
ORD033,PROD018,CUST096,2024-02-22,Not Satisfied,Completed,256.46
ORD044,PROD082,CUST021,2025-01-11,Wrong Item,Completed,448.77
ORD047,PROD089,CUST057,2024-05-20,Defective,Approved,360.42
ORD041,PROD043,CUST029,2025-07-22,Not Satisfied,Completed,356.52
ORD054,PROD027,CUST084,2024-07-04,Wrong Item,Pending,217.17
ORD018,PROD063,CUST003,2025-06-18,Defective,Pending,362.3
ORD053,PROD064,CUST058,2025-06-21,Wrong Item,Pending,26.89
ORD029,PROD059,CUST030,2024-05-06,Size Issue,Completed,349.25
ORD001,PROD009,CUST036,2024-12-24,Size Issue,Completed,352.27
ORD012,PROD065,CUST092,2025-06-28,Wrong Item,Approved,416.95
ORD020,PROD028,CUST095,2025-08-29,Wrong Item,Completed,273.42
ORD010,PROD063,CUST066,2025-03-28,Not Satisfied,Pending,74.38
ORD082,PROD022,CUST084,2024-02-08,Size Issue,Approved,100.5
ORD081,PROD023,CUST021,2025-09-03,Size Issue,Approved,407.38
ORD071,PROD001,CUST058,2025-04-01,Size Issue,Approved,29.25
ORD091,PROD020,CUST086,2024-06-02,Not Satisfied,Completed,212.25
ORD058,PROD088,CUST099,2025-04-06,Wrong Item,Completed,429.67
ORD056,PROD075,CUST009,2024-01-28,Defective,Approved,111.89
ORD080,PROD063,CUST079,2024-09-14,Not Satisfied,Completed,246.37
ORD094,PROD017,CUST055,2024-07-21,Size Issue,Completed,393.99
ORD099,PROD014,CUST058,2024-09-02,Wrong Item,Completed,337.84
ORD022,PROD043,CUST061,2025-03-18,Size Issue,Approved,25.29
ORD095,PROD023,CUST036,2024-07-15,Defective,Completed,469.63
